AnnualRevenue,City,Company,Country,Description,Email,EmailBouncedDate,EmailBouncedReason,FirstName,GeocodeAccuracy,Guid,IndividualId,Industry,IsConverted,IsUnreadByOwner,Jigsaw,LastName,Latitude,LeadSource,Longitude,NumberOfEmployees,OwnerId,Phone,PostalCode,Rating,Salutation,State,Status,Street,Title,Website
19879.0,Hartford,BigLife Inc.,United States,,info@salesforce.com,,,Jim,,66e47e03-20a7-4312-abc7-f18497b7991c,,Insurance,false,true,,Steele,,Employee Referral,,28000,,(555) 555-1212,6156,,,Connecticut,New,11 Farm Avenue,Senior VP,
,,mememee,,,,,,,,8352db26-55cd-4899-bd1a-37ff23b527fb,,,false,false,,mememe,,,,,,,,,,,New,,,
,,test,,,,,,Test,,abb6ee89-32fb-4fdd-9a3d-8e30a0abeefa,,,false,false,,test,,,,,,,,,,,Qualified,,,
28212.0,Hartford,Universal Technologies,United States,,info@salesforce.com,,,Andy,,c4c499fe-7eab-4fb8-9a6d-8969ba0712c1,,Aerospace & Defense,false,true,,Smith,,Advertisement,,155000,,(555) 555-1212,6103,,Mr.,Connecticut,New,Universal Building,Vice President,
,,Test,,,,,,Lead,,e31f8a4c-6372-4e70-8dbd-f8a8557336ab,,,false,false,,1,,,,,,,,,Mr.,,Contacted,,,
33147.0,New York,"MedLife, Inc.",United States,,info@salesforce.com,,,Sarah,,ea70eb45-06c3-4b15-bd67-e694e6e58cb5,,Insurance,false,true,,Loehr,,Employee Referral,,48500,,(555) 555-1212,10010,,,New York,Contacted,One Jones Avenue,System Administrator,
16867.0,Marlborough,3C Systems,United States,,info@salesforce.com,,,John,,ad4d985e-d4ed-456c-aa26-d2cf29ecb299,,Aerospace & Defense,false,true,,Gardner,,Other,,87200,,(555) 555-1212,1752,,Mr.,Massachusetts,New,1 Boston Rd,Exec VP,
,,Any,,,,,,,,648aaca4-47b8-4b42-ad12-64537710b659,,,false,false,,anyLead,,,,,,,,,Mr.,,Contacted,,,
,,any,,,,,,New,,d8ea1750-7798-408b-af40-a700695970cb,,,false,false,,11.21,,,,,,,,,Mr.,,New,,,
,,Any,,,,,,,,c1c63bcd-967a-47f7-82b6-b388d2802f40,,,false,true,,anyLead,,,,,,,,,Mr.,,Contacted,,,
,,wee,,,,,,,,3959434d-3964-44b7-b951-4a54e81ddea2,,,false,false,,wee,,,,,,,,,,,New,,,
,,ajmp,,,,,,ajmp,,fc7136f2-3020-4381-b3dd-f8ccec82eec4,,,false,false,,ajmp,,,,,,,,,,,New,,,
,,atata,,,,,,,,e12d5972-b81a-4e6c-8c90-4a192b829bb3,,,false,false,,tata,,,,,,,,,,,New,,atta,
,,test 2,,,,,,test 3,,b9e2e214-b6ea-4dfc-ab85-76694fdc45c0,,,false,false,,test,,,,,,,,Hot,,,New,,,
,,lead,,,,,,,,102d7c4e-408a-4d05-8321-ec113d427e6c,,,false,false,,lead,,,,,,lead,,,,,Contacted,,,
,,eeeeeeeeehe,,,,,,ehehee,,6ab25f9a-427b-4d49-8336-db392ff957f3,,,false,false,,eheheee,,,,,,,,,,,New,,,
,,123,,,,,,,,f989489f-c715-45ab-8c6a-57d774f2694b,,,false,false,,123,,,,,,,,,,,New,,,
,,new,,,,,,new,,2a85a894-a0cb-486e-a2ca-958b8d939b51,,,false,false,,new,,,,,,,,,,,Qualified,,,
,,pop,,,,,,pop,,85c1a3a4-3c78-43d2-a5f5-5caca163358d,,,false,false,,pop,,,,,,,,,,,Qualified,,,
,,yyyy,,,,,,,,84481fd3-2461-4057-a90a-25c361d9983b,,,false,false,,yyyy,,,,,,,,,,,New,,,
,,456,,,,,,456,,a7b8782f-251a-42d7-a1ee-962dfb1a80a1,,,false,false,,456,,,,,,,,,,,New,,,
,,bleh,,,,,,,,e72cfeaa-a55b-480f-ac01-9187afb620fc,,,false,false,,bleh,,,,,,,,,,,New,,,
,,amp,,,,,,,,604548bb-182b-47eb-9789-0d1444e7490a,,,false,false,,amp,,,,,,,,,,,New,,,
